,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-01,8450.6591796875,8245.0029296875,8047.09716796875,7855.7041015625,7602.49267578125,7270.1494140625,6993.37255859375,6768.79541015625,6642.39599609375,6564.5830078125,6537.52978515625,6588.3857421875,6691.4306640625,7020.6806640625,7351.00927734375,7775.82666015625,8268.6708984375,8663.2802734375,8854.9296875,9099.1416015625,9092.4677734375,9073.0517578125,8971.6904296875,8884.69140625,8775.4462890625,8704.3505859375,8608.4658203125,8503.59765625,8440.91796875,8431.3544921875,8355.1767578125,8379.0009765625,8470.7548828125,8619.2333984375,8870.5859375,9238.0478515625,9748.37890625,10004.1650390625,9946.7626953125,9761.66015625,9590.3193359375,9453.87890625,9303.921875,9043.39453125,8774.9521484375,8765.810546875,8561.5048828125,8444.0224609375
2010-08-02,8471.4853515625,8302.9111328125,8136.72802734375,8014.8564453125,7819.7705078125,7494.00439453125,7219.6259765625,6999.8203125,6899.138671875,6889.892578125,6973.06787109375,7284.72216796875,7709.80419921875,8503.7666015625,9218.392578125,9632.2978515625,10043.5615234375,10186.328125,10117.603515625,10198.4951171875,10156.6875,10101.6142578125,10038.5126953125,9941.1376953125,9847.0810546875,9801.150390625,9714.51953125,9660.494140625,9600.8984375,9602.1787109375,9506.7919921875,9541.9404296875,9639.2666015625,9852.2939453125,10152.552734375,10661.9384765625,11277.5224609375,11455.525390625,11336.640625,11092.5009765625,10881.013671875,10717.4384765625,10493.4130859375,10137.9970703125,9721.1474609375,9724.91796875,9440.900390625,9294.01171875
2010-08-03,9515.9638671875,9279.5703125,9082.0087890625,8912.4775390625,8657.6494140625,8255.2587890625,7931.2001953125,7666.77490234375,7531.50830078125,7512.2666015625,7619.580078125,8033.99658203125,8595.7236328125,9483.6298828125,10345.021484375,10797.7470703125,11257.455078125,11361.9765625,11265.4775390625,11246.517578125,11182.302734375,11097.9111328125,10995.5517578125,10825.32421875,10737.5107421875,10657.09765625,10579.6953125,10530.0595703125,10457.6962890625,10411.2138671875,10372.4150390625,10380.767578125,10491.8671875,10718.1416015625,11089.18359375,11613.2548828125,12282.205078125,12368.0498046875,12265.5361328125,11997.025390625,11798.65625,11620.7041015625,11363.029296875,11008.9140625,10564.6904296875,10505.4521484375,10153.2685546875,9947.603515625
2010-08-04,9579.8095703125,9375.666015625,9157.2177734375,8985.8662109375,8708.8095703125,8289.8955078125,7930.13720703125,7611.17529296875,7437.6767578125,7366.02099609375,7416.48046875,7681.4755859375,8065.9814453125,8843.94140625,9567.1123046875,10029.8671875,10510.30078125,10694.4970703125,10625.947265625,10681.6396484375,10586.9326171875,10487.4404296875,10341.8828125,10186.158203125,10048.0390625,9955.3818359375,9836.845703125,9743.0068359375,9668.2705078125,9638.6240234375,9559.6162109375,9581.85546875,9700.294921875,9938.60546875,10312.091796875,10889.31640625,11616.791015625,11832.08203125,11752.8662109375,11508.56640625,11306.7275390625,11151.4091796875,10962.76953125,10617.1923828125,10214.4521484375,10180.2802734375,9848.0478515625,9670.9248046875
2010-08-05,9411.0517578125,9272.423828125,9044.5,8885.4130859375,8615.7587890625,8222.83203125,7863.04345703125,7514.724609375,7341.1923828125,7283.345703125,7363.32958984375,7641.04150390625,8022.40087890625,8888.947265625,9624.98828125,10061.2646484375,10480.74609375,10622.55859375,10462.880859375,10518.4482421875,10386.572265625,10267.1865234375,10117.7890625,10000.6845703125,9822.6474609375,9744.25,9606.5556640625,9507.8974609375,9446.1640625,9439.4892578125,9320.8818359375,9368.05078125,9480.9208984375,9723.75390625,10067.41015625,10673.654296875,11410.033203125,11680.236328125,11600.4365234375,11381.1318359375,11166.2568359375,11010.0849609375,10847.744140625,10505.1328125,10091.9697265625,10094.1767578125,9760.3505859375,9611.380859375
2010-08-06,9605.9658203125,9441.943359375,9223.998046875,9078.498046875,8816.103515625,8400.52734375,8027.28466796875,7675.884765625,7495.3212890625,7429.609375,7509.18994140625,7821.216796875,8261.4091796875,9197.33203125,10018.3447265625,10475.2333984375,10923.0322265625,11031.44140625,10854.755859375,10874.943359375,10743.6865234375,10619.544921875,10467.9267578125,10320.861328125,10154.35546875,10066.9345703125,9933.376953125,9840.3955078125,9770.4658203125,9752.4033203125,9644.2421875,9684.2177734375,9807.4150390625,10078.5615234375,10470.9716796875,11133.208984375,11933.6689453125,12185.1083984375,12091.0439453125,11837.5380859375,11615.6591796875,11458.916015625,11276.3955078125,10895.09765625,10445.451171875,10430.73828125,10071.73046875,9903.8759765625
2010-08-07,9648.8876953125,9445.5,9214.3896484375,9023.4091796875,8723.302734375,8292.2626953125,7915.35302734375,7557.9970703125,7349.42529296875,7226.73291015625,7226.470703125,7355.2392578125,7585.8876953125,8197.0517578125,8772.4404296875,9235.2099609375,9756.6806640625,10038.1513671875,10057.3291015625,10180.181640625,10077.2763671875,9987.068359375,9802.591796875,9647.021484375,9472.0224609375,9362.7138671875,9224.1357421875,9102.5546875,9022.470703125,8984.783203125,8904.9560546875,8923.9033203125,9052.5322265625,9284.6044921875,9673.9873046875,10255.75,11009.904296875,11305.15234375,11257.779296875,11025.234375,10827.1669921875,10691.7138671875,10556.607421875,10231.822265625,9872.9892578125,9842.36328125,9535.0625,9387.7080078125
2010-08-08,9224.1240234375,8966.9541015625,8764.5126953125,8593.701171875,8329.365234375,7919.419921875,7573.52685546875,7272.412109375,7087.80322265625,6937.66015625,6869.02734375,6894.078125,7026.0498046875,7451.7294921875,7902.00146484375,8404.435546875,9006.865234375,9384.2529296875,9548.517578125,9748.861328125,9713.5654296875,9668.130859375,9515.16015625,9348.078125,9215.7724609375,9103.818359375,8988.3876953125,8861.6923828125,8775.4765625,8735.08203125,8665.88671875,8682.7255859375,8813.669921875,9052.837890625,9452.05078125,10013.9677734375,10764.9228515625,11073.048828125,10997.412109375,10741.962890625,10544.697265625,10427.3896484375,10279.158203125,9919.2744140625,9582.6416015625,9532.0185546875,9255.169921875,9113.146484375
2010-08-09,8950.6904296875,8775.1005859375,8602.8388671875,8493.8662109375,8290.619140625,7918.6171875,7596.0283203125,7326.21337890625,7188.2255859375,7151.72900390625,7235.6943359375,7573.53125,8049.74951171875,8968.236328125,9796.490234375,10232.9150390625,10671.083984375,10763.9140625,10629.7734375,10658.9326171875,10582.7607421875,10499.5537109375,10400.431640625,10265.611328125,10151.1513671875,10083.10546875,9980.9609375,9917.423828125,9847.1279296875,9837.908203125,9739.9599609375,9768.1162109375,9884.771484375,10146.5458984375,10524.0625,11152.5078125,11899.865234375,12098.177734375,11979.8134765625,11698.498046875,11472.2548828125,11312.7080078125,11092.9404296875,10691.89453125,10228.19921875,10220.6806640625,9893.3984375,9732.5927734375
2010-08-10,9387.7216796875,9234.9384765625,8995.9765625,8800.20703125,8503.0224609375,8130.103515625,7800.4111328125,7492.8671875,7354.3427734375,7336.130859375,7444.494140625,7780.74853515625,8209.4365234375,9028.0087890625,9739.3671875,10157.5009765625,10545.8544921875,10699.287109375,10561.1005859375,10606.66796875,10494.2900390625,10387.154296875,10263.6025390625,10153.1298828125,10004.9453125,9939.2841796875,9819.47265625,9745.490234375,9685.640625,9668.0205078125,9579.7880859375,9624.931640625,9721.7802734375,9910.55078125,10191.2197265625,10668.7138671875,11263.6337890625,11449.6123046875,11373.2509765625,11191.634765625,11002.09375,10826.619140625,10634.9453125,10353.4541015625,9975.5029296875,9968.169921875,9644.7119140625,9473.2080078125
