,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-01,8493.71,8269.14,7967.5,7784.98,7542.53,7214.43,6929.18,6743.03,6657.3,6629.6,6660.04,6702.41,6831.87,7021.74,7297.02,7559.11,8097.96,8495.95,8797.15,9000.88,9006.26,8994.52,8898.15,8703.21,8624.82,8505.36,8442.9,8361.04,8286.72,8224.39,8234.66,8257.28,8392.83,8556.55,8881.66,9394.3,10167.55,10420.99,10440.03,10292.78,10135.04,10035.56,9847.39,9581.28,9260.23,9158.77,8897.92,8690.46
2010-08-02,8494.93,8153.3,7963.14,7791.0,7630.07,7303.23,7092.68,6942.67,6903.84,6910.13,7077.64,7438.2,7910.97,8858.96,9737.05,10317.19,10836.09,10977.84,10750.09,10810.46,10888.48,10884.72,10890.82,10690.23,10555.32,10434.66,10340.5,10238.44,10117.35,10065.51,10052.21,10043.13,10196.94,10496.09,10920.8,11536.04,12356.23,12508.11,12354.8,12096.33,11853.17,11608.1,11420.32,11017.29,10522.72,10447.81,10027.46,9749.85
2010-08-03,9463.64,9181.92,9022.9,8834.82,8581.46,8153.75,7784.02,7594.12,7421.33,7413.05,7456.69,7797.38,8235.49,9131.01,10018.86,10513.38,10992.04,11035.22,10908.13,10919.04,10830.75,10787.29,10642.4,10530.16,10388.83,10332.95,10221.57,10119.53,10025.42,9943.68,9864.87,9822.14,9952.7,10207.41,10459.57,10953.33,11736.83,11991.47,11857.42,11658.43,11408.17,11281.36,11095.59,10783.93,10355.88,10287.61,9947.92,9698.23
2010-08-04,9480.74,9217.83,8986.55,8813.53,8540.52,8149.63,7837.14,7556.47,7421.34,7376.69,7445.98,7778.3,8238.91,9126.79,10120.71,10566.09,10915.07,10921.29,10693.19,10588.07,10496.68,10311.13,10164.84,9913.15,9706.13,9706.54,9616.91,9555.77,9451.01,9432.22,9328.56,9275.75,9364.59,9536.08,9773.34,10214.82,11108.96,11436.13,11386.55,11245.47,11083.46,10996.31,10795.94,10515.3,10167.66,10154.21,9856.06,9550.21
2010-08-05,9378.06,9141.41,8947.06,8763.38,8499.08,8087.16,7723.82,7474.82,7350.59,7336.92,7423.51,7751.73,8220.75,9212.35,10129.08,10644.84,11117.75,11139.94,10849.0,10737.48,10562.95,10362.32,10216.28,9942.69,9766.8,9763.46,9727.99,9614.64,9658.4,9655.25,9557.34,9523.11,9612.48,9811.83,10145.66,10647.37,11503.73,11838.52,11874.27,11779.58,11538.57,11442.29,11297.09,10922.36,10507.95,10475.62,10139.93,9855.96
2010-08-06,9586.57,9317.43,9103.48,8926.28,8664.27,8291.36,7925.91,7674.72,7490.52,7476.13,7513.78,7837.0,8352.05,9333.62,10286.37,10766.58,11149.0,11156.23,11040.51,11035.1,10887.52,10750.45,10545.74,10365.31,10191.78,10077.54,9915.83,9710.27,9729.98,9682.54,9533.06,9484.51,9645.94,9870.22,10139.88,10701.59,11496.47,11744.88,11736.52,11493.44,11367.53,11147.98,11033.42,10776.7,10471.51,10551.74,10289.0,10044.38
2010-08-07,9802.23,9516.4,9264.0,9005.99,8719.88,8283.56,7944.48,7648.99,7509.88,7432.29,7365.05,7467.93,7686.47,8005.01,8347.19,8876.63,9531.31,10086.64,10358.86,10500.66,10292.78,10127.83,9895.32,9583.34,9379.51,9149.5,8993.49,8859.49,8757.37,8675.87,8692.58,8734.15,8806.27,9096.68,9530.98,10030.39,10968.76,11090.3,11063.49,10788.02,10611.31,10426.55,10246.18,10118.51,9880.08,9827.61,9619.83,9366.22
2010-08-08,9134.63,8812.01,8566.93,8352.97,8058.69,7681.26,7463.57,7279.37,7172.0,7100.04,7158.37,7205.92,7410.53,7651.44,7914.86,8302.34,8855.75,9374.83,9707.63,9829.65,9809.14,9684.95,9474.6,9148.74,8982.8,8841.43,8687.08,8487.96,8424.3,8342.58,8334.53,8391.57,8541.56,8788.23,9182.24,9792.63,10814.94,11285.87,11268.89,11060.52,10880.63,10772.14,10582.51,10261.72,9795.05,9588.13,9275.82,9018.32
2010-08-09,8758.54,8522.69,8305.94,8174.96,8027.1,7711.88,7478.42,7350.47,7265.46,7308.42,7448.52,7791.96,8293.48,9305.52,10273.81,10768.42,11294.01,11270.08,11120.95,11036.55,10848.67,10713.26,10499.43,10275.68,10102.17,9965.99,9855.88,9748.0,9683.23,9626.08,9538.38,9466.58,9554.73,9710.78,9964.95,10545.43,11409.44,11718.84,11622.39,11442.74,11152.65,11092.65,10869.79,10589.79,10211.96,10077.38,9708.28,9458.29
2010-08-10,9276.01,8990.58,8880.7,8649.95,8433.24,8018.28,7613.52,7336.34,7171.88,7082.91,7194.66,7516.59,8023.37,8951.26,9920.34,10398.03,10824.23,10894.78,10763.21,10848.28,10956.0,10945.37,10891.22,10794.03,10694.27,10663.71,10661.5,10522.88,10517.96,10493.34,10439.07,10408.22,10579.76,10794.11,11045.36,11446.19,12001.86,12033.49,11829.72,11555.12,11258.8,11013.99,10758.13,10387.84,9962.15,9919.94,9557.72,9283.62
2010-08-11,9023.52,8817.4,8619.22,8474.63,8225.24,7843.77,7476.58,7235.8,7104.13,7091.46,7145.0,7442.16,7800.36,8686.72,9597.82,9982.47,10448.38,10530.93,10437.07,10456.73,10476.12,10430.25,10272.89,10054.04,9993.82,9960.56,9778.11,9693.26,9624.71,9650.48,9527.59,9498.82,9596.9,9768.85,10091.53,10623.49,11407.7,11699.05,11628.27,11392.34,11189.29,11015.15,10807.16,10570.65,10176.98,10061.61,9741.1,9509.67
2010-08-12,9223.41,8905.12,8739.31,8564.7,8395.72,8011.95,7711.27,7480.13,7344.24,7318.39,7362.14,7652.16,8055.81,8982.98,9872.88,10255.14,10651.63,10703.73,10474.93,10435.49,10398.18,10382.5,10298.24,10030.47,9972.1,9952.57,9850.8,9805.12,9785.69,9774.0,9770.96,9795.94,10043.07,10336.79,10651.58,11139.94,11779.26,12022.09,11935.14,11673.22,11530.01,11365.02,11076.1,10660.26,10192.48,10181.63,9839.2,9567.36
2010-08-13,9322.81,9102.86,8879.75,8720.47,8493.81,8094.05,7743.18,7557.17,7400.69,7380.12,7481.71,7802.17,8244.77,9146.13,10025.89,10430.73,10805.45,10815.18,10614.64,10550.67,10374.68,10275.93,10114.86,9836.49,9708.36,9694.25,9599.29,9499.46,9406.83,9373.4,9257.07,9258.18,9300.73,9395.56,9541.75,9956.3,10688.34,10979.31,10949.35,10712.27,10562.65,10487.12,10322.66,10117.23,9883.74,10005.82,9805.19,9658.01
2010-08-14,9446.04,9149.81,8961.1,8707.69,8402.79,7986.48,7667.4,7367.94,7159.66,7099.18,7108.16,7240.51,7382.92,7688.8,8048.06,8549.8,9138.47,9531.7,9661.21,9824.29,9682.08,9531.35,9311.34,9048.55,8873.26,8729.07,8596.9,8437.2,8307.78,8281.39,8201.18,8167.59,8294.56,8490.06,8735.36,9014.33,9768.6,10155.38,10119.26,9838.28,9569.0,9483.26,9389.6,9219.56,9007.72,8977.74,8777.42,8675.46
2010-08-15,8421.41,8182.24,7900.28,7673.27,7454.5,7116.6,6860.12,6652.74,6596.64,6456.54,6511.48,6588.62,6710.32,6912.52,7068.39,7385.76,7820.51,8320.43,8631.64,8904.31,8908.37,8845.88,8701.95,8586.53,8485.86,8540.62,8590.42,8415.18,8266.25,7873.95,8018.21,8136.98,8210.09,8423.75,8640.96,8982.79,9752.13,10235.38,10216.48,10033.03,9863.31,9669.01,9484.27,9306.81,8913.73,8849.77,8559.37,8395.03
2010-08-16,8151.51,7920.59,7728.46,7543.48,7417.93,7110.91,6857.61,6719.95,6627.18,6659.34,6820.07,7158.15,7602.06,8424.94,9242.04,9652.55,9969.25,10099.62,9928.53,9924.07,9938.1,9975.91,9901.18,9774.32,9605.45,9488.85,9473.57,9516.11,9446.5,9351.15,9322.11,9266.62,9283.25,9466.77,9637.16,10128.35,10942.16,11318.06,11259.05,11060.27,10774.95,10580.62,10436.92,10029.29,9679.47,9666.15,9123.32,8985.68
2010-08-17,9087.91,8903.14,8667.04,8565.16,8257.56,7907.41,7584.14,7377.1,7238.42,7207.2,7329.3,7791.23,8243.2,9197.77,10054.87,10502.4,10815.71,10736.32,10535.18,10499.75,10361.68,10257.72,10093.04,9910.23,9773.58,9667.02,9545.52,9474.32,9419.95,9342.33,9280.3,9191.82,9198.03,9426.12,9812.03,10392.08,11258.44,11661.35,11679.46,11502.97,11318.51,11197.76,10944.41,10653.46,10242.36,10152.47,9784.82,9489.7
2010-08-18,9341.22,9119.95,8893.93,8720.49,8498.76,8085.83,7799.82,7528.74,7333.22,7298.49,7455.1,7744.09,8217.58,9193.39,10122.54,10585.34,10998.44,10967.66,10710.01,10585.18,10446.97,10245.97,10098.23,9881.22,9731.68,9652.33,9571.84,9599.45,9657.19,9622.67,9566.7,9480.13,9542.27,9657.29,9895.64,10382.89,11002.66,11122.4,11006.16,10735.86,10474.92,10266.97,10054.19,9706.77,9313.72,9339.5,9070.25,8911.03
2010-08-19,8674.59,8453.83,8284.53,8143.04,7890.67,7468.06,7110.34,6846.33,6696.26,6698.94,6764.96,7077.68,7537.27,8318.28,9017.05,9284.07,9556.07,9573.04,9455.38,9505.55,9464.06,9464.86,9429.14,9263.75,9191.97,9200.65,9231.37,9195.83,9125.33,9109.93,9081.41,9043.17,9053.95,9122.13,9231.37,9452.54,10057.22,10337.06,10214.49,10030.88,9791.58,9677.48,9462.85,9209.9,8886.95,8986.79,8740.72,8644.76
2010-08-20,8603.77,8359.85,8227.96,8023.07,7767.17,7360.67,7041.52,6820.11,6708.24,6675.38,6797.09,7123.68,7518.31,8343.22,9115.46,9427.66,9757.83,9772.7,9637.41,9670.18,9642.33,9615.76,9585.57,9446.36,9370.04,9168.82,9106.34,9103.89,9006.36,8990.46,8922.12,8870.29,8957.74,9053.22,9217.45,9568.87,10204.02,10509.95,10426.15,10218.0,10023.69,9954.7,9809.37,9579.07,9373.82,9477.58,9289.96,9160.4
2010-08-21,9057.33,8770.29,8566.68,8357.92,8046.79,7688.16,7305.07,7059.12,6845.48,6814.19,6805.73,6911.51,7059.48,7459.9,7841.65,8354.28,8870.05,9235.66,9381.66,9581.16,9415.29,9294.1,9090.19,8891.61,8723.96,8622.91,8519.85,8344.55,8286.09,8185.64,8171.53,8208.3,8247.9,8428.15,8646.56,8986.55,9802.22,10286.54,10223.11,10035.78,9891.19,9738.34,9602.91,9477.46,9338.91,9378.96,9274.3,9192.5
2010-08-22,8904.96,8524.65,8188.25,7937.04,7697.8,7342.34,7033.55,6828.74,6767.28,6818.73,6766.41,6899.9,6998.7,7223.36,7502.5,7868.6,8381.01,8824.36,9057.96,9241.98,9185.46,9134.73,8915.02,8742.83,8522.38,8481.06,8339.33,8235.23,8075.95,7999.95,8061.97,8125.77,8359.68,8567.96,9016.75,9420.05,10227.43,10581.45,10533.17,10373.73,10200.31,10072.06,9836.29,9568.7,9215.71,9044.13,8768.58,8552.25
2010-08-23,8328.65,8060.91,7863.57,7674.31,7540.32,7230.67,7008.25,6910.16,6813.54,6848.07,6939.05,7304.24,7763.23,8673.05,9489.77,9958.45,10449.65,10652.25,10552.96,10705.64,10652.35,10653.38,10441.17,10363.01,10312.98,10300.8,10298.55,10240.8,10234.4,10109.72,9970.15,9956.42,10098.34,10168.12,10440.33,10923.24,11614.5,11866.99,11732.67,11421.16,11113.51,10945.89,10631.84,10289.72,9811.41,9782.86,9414.5,9197.75
2010-08-24,8969.47,8752.52,8541.2,8406.38,8142.89,7758.72,7412.32,7162.76,6992.59,6945.86,7098.06,7424.4,7840.45,8713.38,9586.46,9929.53,10201.35,10222.7,10008.06,10038.19,9980.53,9835.12,9722.61,9570.12,9449.76,9430.04,9372.25,9309.26,9283.6,9228.74,9107.98,8971.52,9155.43,9338.19,9657.18,10176.03,10899.43,11188.88,11158.52,10914.9,10711.69,10522.96,10259.91,10038.9,9605.76,9611.58,9282.07,9079.37
2010-08-25,8943.58,8677.57,8524.27,8348.08,8155.84,7713.77,7424.89,7129.48,6955.1,6954.19,7018.63,7332.73,7795.15,8770.12,9545.83,9870.83,10124.84,10085.34,9944.86,9929.32,9852.47,9784.83,9679.95,9554.24,9472.74,9417.66,9343.13,9290.36,9256.15,9241.0,9175.3,9145.42,9228.82,9397.45,9637.52,10154.0,10947.71,11350.87,11339.04,11144.28,10932.04,10787.51,10605.04,10278.55,9904.69,9854.75,9546.35,9275.21
2010-08-26,9070.84,8781.41,8593.84,8423.6,8144.68,7776.71,7446.07,7221.32,7084.07,7067.89,7152.74,7447.15,7897.15,8821.13,9602.79,10003.5,10320.04,10403.0,10277.51,10253.53,10216.42,10155.8,10066.21,9915.2,9846.57,9810.03,9750.79,9713.67,9707.37,9651.91,9537.11,9494.57,9544.04,9681.63,9900.38,10328.38,11140.15,11600.83,11600.76,11375.77,11164.02,11048.12,10798.08,10429.34,9994.31,9914.35,9604.48,9402.67
2010-08-27,9208.58,8915.04,8680.64,8531.83,8232.37,7888.06,7564.3,7295.39,7137.1,7112.59,7212.49,7514.95,7978.49,8821.99,9597.2,10084.26,10385.18,10417.51,10291.67,10260.83,10226.45,10104.06,10018.22,9917.72,9730.58,9642.48,9473.13,9453.35,9320.12,9306.67,9236.42,9229.22,9296.37,9372.86,9556.0,9894.36,10512.3,10884.5,10806.3,10615.58,10447.34,10387.81,10270.04,9991.3,9741.66,9804.15,9613.84,9429.41
2010-08-28,9307.94,9043.38,8795.49,8574.27,8256.33,7916.14,7554.2,7294.32,7171.14,7139.61,7111.33,7248.15,7402.27,7736.68,8090.96,8562.55,9095.2,9407.54,9642.47,9748.46,9614.49,9539.45,9328.89,9124.13,8916.63,8826.05,8630.62,8533.88,8409.71,8315.65,8257.74,8339.6,8443.56,8543.16,8804.13,9063.54,9894.95,10386.24,10411.14,10207.19,9986.94,9888.88,9727.24,9570.24,9418.86,9396.4,9243.18,9106.11
2010-08-29,8883.49,8593.42,8340.94,8125.38,7910.65,7544.05,7301.28,7055.93,6969.19,6868.9,6905.49,6990.95,7099.61,7297.69,7534.85,7894.22,8371.13,8749.36,9021.46,9162.38,9131.79,9047.11,8895.17,8648.15,8524.12,8415.79,8323.36,8146.02,8041.21,7993.03,7931.88,7973.9,8086.99,8241.53,8478.41,8813.11,9640.65,10307.2,10361.43,10219.58,9988.04,9813.43,9693.86,9427.41,9118.76,9005.41,8698.06,8490.76
2010-08-30,8268.24,8055.1,7872.07,7695.26,7549.42,7270.97,6986.77,6888.63,6839.09,6844.36,6998.58,7353.73,7783.73,8658.7,9444.59,9782.21,10091.07,10142.65,9998.72,9983.87,9933.45,9867.81,9773.07,9686.55,9552.8,9475.67,9409.7,9311.22,9280.94,9218.08,9145.1,9131.64,9132.36,9233.49,9488.69,9885.61,10568.48,11036.72,11058.49,10802.44,10615.87,10469.89,10184.4,9894.55,9510.46,9523.0,9243.86,9092.78
2010-08-31,8921.89,8712.18,8535.0,8388.63,8190.03,7810.61,7492.78,7247.15,7104.66,7091.63,7209.38,7485.51,7947.07,8830.39,9606.76,9834.21,10081.35,10095.98,9932.72,9895.66,9720.94,9686.57,9564.32,9399.49,9378.97,9242.17,9199.62,9221.84,9156.62,9060.73,8931.54,9041.65,9098.6,9187.78,9319.95,9542.42,10114.34,10488.34,10451.12,10167.84,9894.51,9696.68,9500.61,9259.9,9003.4,9055.04,8822.25,8668.47
