,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2008-06-01,770742.0,724565.0,693491.0,679233.0,674696.0,674284.0,680131.0,743541.0,849129.0,936148.0,988221.0,1015416.0,1041168.0,1066726.0,1060102.0,1054998.0,1052267.0,1025875.0,1009663.0,985246.0,990391.0,984311.0,903287.0,808679.0
2008-06-02,748057.0,713585.0,694543.0,688922.0,704251.0,759012.0,855524.0,927487.0,955876.0,982345.0,1011727.0,1027097.0,1043674.0,1048532.0,1068729.0,1075731.0,1110849.0,1126292.0,1127311.0,1095040.0,1081966.0,1066763.0,956957.0,845395.0
2008-06-03,773053.0,741301.0,717947.0,714724.0,726553.0,780911.0,849617.0,920774.0,937074.0,968781.0,1016335.0,1051651.0,1086700.0,1126468.0,1149416.0,1158983.0,1142863.0,1122723.0,1110158.0,1091910.0,1097401.0,1073552.0,984550.0,888167.0
2008-06-04,818706.0,789321.0,759622.0,725787.0,727381.0,772920.0,855800.0,925633.0,940148.0,970090.0,1016175.0,1075984.0,1108401.0,1142246.0,1039703.0,996473.0,1001796.0,1012543.0,1018660.0,1020188.0,1045228.0,1044725.0,952440.0,870302.0
2008-06-05,801963.0,767978.0,744832.0,748900.0,769035.0,809427.0,900321.0,971640.0,1006062.0,1061375.0,1121761.0,1165358.0,1148830.0,1193503.0,1234193.0,1264228.0,1285299.0,1296555.0,1313393.0,1292668.0,1272634.0,1255279.0,1155447.0,1021813.0
2008-06-06,929497.0,880682.0,852752.0,821983.0,828891.0,852237.0,948651.0,1022612.0,1053858.0,1102796.0,1164094.0,1231142.0,1246750.0,1294263.0,1339520.0,1374375.0,1394654.0,1392422.0,1377485.0,1356413.0,1337993.0,1323899.0,1221469.0,1107635.0
2008-06-07,995733.0,941513.0,892376.0,852965.0,845640.0,843758.0,878034.0,968485.0,1082360.0,1204439.0,1308572.0,1387818.0,1450736.0,1450668.0,1463509.0,1496295.0,1492428.0,1464885.0,1442365.0,1429449.0,1376543.0,1334361.0,1228642.0,1099683.0
2008-06-08,998653.0,926480.0,891705.0,854164.0,842778.0,830734.0,836538.0,925088.0,1054286.0,1192247.0,1298169.0,1375485.0,1414541.0,1436147.0,1452366.0,1481617.0,1508897.0,1502943.0,1487862.0,1466266.0,1440608.0,1397391.0,1254443.0,1108939.0
2008-06-09,1007419.0,951004.0,911063.0,899168.0,897490.0,941902.0,1026565.0,1143614.0,1250157.0,1344867.0,1438475.0,1484797.0,1536090.0,1579924.0,1636995.0,1634365.0,1635218.0,1630005.0,1634601.0,1618393.0,1580439.0,1528476.0,1381430.0,1221449.0
2008-06-10,1110459.0,1039345.0,987942.0,958417.0,936954.0,971373.0,1059381.0,1170037.0,1258508.0,1351658.0,1450631.0,1526388.0,1553528.0,1621067.0,1643971.0,1588844.0,1490304.0,1493240.0,1457712.0,1407011.0,1384229.0,1373802.0,1247623.0,1121893.0
2008-06-11,1033453.0,965037.0,921955.0,891435.0,887737.0,910284.0,984233.0,1065611.0,1122232.0,1192867.0,1243095.0,1297627.0,1327483.0,1358250.0,1395441.0,1425172.0,1453281.0,1467365.0,1424369.0,1376287.0,1310152.0,1262374.0,1127632.0,997355.0
2008-06-12,906288.0,849418.0,818083.0,805355.0,804108.0,857208.0,936617.0,1021164.0,1068904.0,1139591.0,1215698.0,1280107.0,1334656.0,1394104.0,1436817.0,1475086.0,1479991.0,1494133.0,1472383.0,1412052.0,1361870.0,1317080.0,1194651.0,1044678.0
